"event_id","event_date","team_name","team_id","rider_name","rider_id","pcs_rank","event_rank","uci_points","pcs_points_season","pcs_gc_points_season","pcs_points_last_60d","pcs_gc_points","pcs_sprint_points","pcs_sprint_points_season","pcs_rank_t","event_rank_t","uci_points_t","pcs_points_season_t","pcs_gc_points_season_t","pcs_points_last_60d_t","pcs_gc_points_t","combined_score","gc_weight","rank","diff_next","tier","is_tier1","keep_in_tier1"
"giro-d-italia","2023-05-06","EF Education - EasyPost (WT)","team/ef-education-easypost-2023","HEALY Ben","rider/ben-healy",58,18,2178,637,188,597,712.75,NA,NA,-4.07753744390572,-2.94443897916644,7.68662133494462,6.45833828334479,5.24174701505964,6.17050906672668,6.57053276097022,6.02265572439042,0.762782690750692,13,0.0588777741434177,"Tier 3",FALSE,FALSE
"tour-de-france","2025-07-05","Team Visma | Lease a Bike (WT)","team/team-visma-lease-a-bike-2025","JORGENSON Matteo","rider/matteo-jorgenson",21,16,1603.57,651,580,172,1281.5,265.25,95,-3.09104245335832,-2.83321334405622,7.38061108689649,6.48004456192665,6.36475075685191,5.15329159449778,7.15656657704492,5.99195759704827,0.926202980479737,10,0.0383185454467494,"Tier 2",FALSE,FALSE
"giro-d-italia","2024-05-04","Decathlon AG2R La Mondiale Team (WT)","team/decathlon-ag2r-la-mondiale-2024","PARET-PEINTRE Aurélien","rider/aurelien-paret-peintre",95,22,906.14,337,251,192,843.25,NA,NA,-4.56434819146784,-3.13549421592915,6.81029679322016,5.82304589548302,5.52942908751142,5.26269018890489,6.73844865926568,5.9659896402384,0.804646387086104,9,0.195805906140907,"Tier 3",FALSE,FALSE
"giro-d-italia","2023-05-06","EF Education - EasyPost (WT)","team/ef-education-easypost-2023","CARTHY Hugh","rider/hugh-carthy",68,20,703.88,260,401,223,1180.75,NA,NA,-4.23410650459726,-3.04452243772342,6.55802757555847,5.56452040732269,5.99645208861902,5.41164605185504,7.07475166967335,5.963777950247,0.872607900757756,14,0.00889202431772329,"Tier 3",FALSE,FALSE
"giro-d-italia","2023-05-06","Bahrain - Victorious (WT)","team/bahrain-victorious-2023","HAIG Jack","rider/jack-haig",178,56,674.71,220,451,184,1380,NA,NA,-5.18738580584075,-4.04305126783455,6.51576398991584,5.39816270151775,6.11368217983223,5.22035582507832,7.23056315340929,5.95488592592928,0.889667305600388,15,NA,"Tier 3",FALSE,FALSE
"tour-de-france","2025-07-05","UAE Team Emirates - XRG (WT)","team/uae-team-emirates-xrg-2025","YATES Adam","rider/adam-yates",31,23,677,419,711,140,1911.5,75,50,-3.46573590279973,-3.17805383034795,6.5191472879404,6.04025471127741,6.56807791141198,4.94875989037817,7.55616656570069,5.95363905160152,0.955791290181144,11,0.0474592676359196,"Tier 2",FALSE,FALSE
"tour-de-france","2023-07-01","Bahrain - Victorious (WT)","team/bahrain-victorious-2023","BILBAO Pello","rider/pello-bilbao",27,19,2432.14,625,676,72,2848.5,NA,NA,-3.3322045101752,-2.99573227355399,7.7969378832571,6.4393503711001,6.51767127291227,4.29045944114839,7.95489881927505,5.94244558172237,0.948456080901483,7,0.0322633157655732,"Tier 3",FALSE,FALSE
"vuelta-a-espana","2025-08-23","XDS Astana Team (WT)","team/xds-astana-team-2025","LÓPEZ Harold Martín","rider/harold-martin-lopez",67,17,763,639,540,102,714.5,38,38,-4.21950770517611,-2.89037175789616,6.63856778916652,6.46146817635372,6.29341927884648,4.63472898822964,6.57298159899651,5.92036635902755,0.915822773924197,13,0.577968147951194,"Tier 2",FALSE,FALSE
"tour-de-france","2023-07-01","Bora - Hansgrohe (WT)","team/bora-hansgrohe-2023","HINDLEY Jai","rider/jai-hindley",48,29,1652,490,574,197,2184.75,NA,NA,-3.89182029811063,-3.40119738166216,7.41034709782102,6.19644412779452,6.35437004079735,5.28826703069454,7.689714298061,5.91018226595679,0.924692371421103,8,0.0163018185504615,"Tier 3",FALSE,FALSE
"tour-de-france","2025-07-05","Tudor Pro Cycling Team (PRT)","team/tudor-pro-cycling-team-2025","STORER Michael","rider/michael-storer",39,27,1230,687,586,186,1032,47.25,37,-3.68887945411394,-3.3322045101752,7.11558212618445,6.53378883793334,6.3750248198281,5.23110861685459,6.94022246911964,5.90617978396561,0.927698069307832,12,0.0381251999637424,"Tier 2",FALSE,FALSE
