rider_id,rider_name,stage_id,stage,stage_points,cumulative_points
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-5,5,0,0
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-6,6,0,0
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-7,7,0,0
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-8,8,20,20
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-9,9,0,20
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-10,10,0,20
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-11,11,0,20
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-12,12,0,20
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-13,13,0,20
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-14,14,0,20
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-15,15,0,20
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-5,5,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-6,6,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-7,7,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-8,8,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-9,9,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-10,10,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-11,11,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-12,12,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-13,13,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-14,14,0,0
rider/axel-zingle,ZINGLE Axel,race/vuelta-a-espana/2025/stage-15,15,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-5,5,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-6,6,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-7,7,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-8,8,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-9,9,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-10,10,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-11,11,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-12,12,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-13,13,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-14,14,0,0
rider/ben-o-connor,O'CONNOR Ben,race/vuelta-a-espana/2025/stage-15,15,0,0
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-5,5,13,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-6,6,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-7,7,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-8,8,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-9,9,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-10,10,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-11,11,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-12,12,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-13,13,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-14,14,0,13
rider/ben-tulett,TULETT Ben,race/vuelta-a-espana/2025/stage-15,15,0,13
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-5,5,7,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-6,6,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-7,7,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-8,8,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-9,9,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-10,10,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-11,11,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-12,12,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-13,13,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-14,14,0,7
rider/ben-zwiehoff,ZWIEHOFF Ben,race/vuelta-a-espana/2025/stage-15,15,0,7
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-3,3,4,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-4,4,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-5,5,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-6,6,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-7,7,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-8,8,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-9,9,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-10,10,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-11,11,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-12,12,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-13,13,0,4
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-14,14,0,4
